n	bytes	sha256	path
126	19769	8ad3806bdf66dc83675f3b12393f03326488530b59896feaa475e4d9c2f8aa85	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter2_Weight_of_the_Sky.txt
127	21887	110eff4dfbfd59b2f0fc36569e381680dfa2a664957ae819b61f749dc5f9191f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter:_10_-_MASTER_BRIEFING.txt
128	20564	40ae98a373f364f79c838929adecef0a8255863af2df6df51f2080014a090b70	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter:_1_-_Stardust_to_Stardust.txt
129	13182	5cc779f65aee35a8d60dcb082538c3a4afef60d02539fc6ed266a4bea480f8ca	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter:_1_Proof_of_Authorship_1.0.txt
130	17600	1e287e1ced18b844829de36efdb600bbfea59461ca5689e83461efeefede9d84	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter:_1_Proof_of_Authorship_1.1.txt
131	17241	a02f56e5ac0abd966aef2541b27fa8e4f9c5d36a2f7287d2c7bf7b46c026c6c7	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter:_8_(Final).txt
132	20311	8bbcae289b2e8663096e93692435d3e3954c52e600caf76a6ce15c77ad955995	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10.1.txt
133	27367	102c94f8d1b21da62635207c29d5d59f8d093a6834db72862c75867b6abaf96b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10.5.txt
134	17281	709467bf5fda4afdcc4ba4a7a273382e7619e74b6faa8ba6cce56f4914557ede	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10:_Forsaken.txt
135	28345	3fa62b7d098773c1051829693664fd31f16b7ff29ef23e2c7215cc215295460d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10_Forsaken_FINAL_DEFINITIVE.txt
136	26347	1f83b40c13f98acc8c032585acdc2d0b695f02808880a2a1326bab88bdd59680	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_10_Version_F.txt
137	21365	96980a3e89e556c8e4fcec9f322095c3aa882e78b90e532669353869b056c573	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_11.8.txt
138	26263	8d3f998fafb7852f66f9a055c6233295c82b0fdbb2450663ec63c7e3961d23e1	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_11._Forsaken.txt
139	17060	960479e956f95dc5674a44b34a4c5bc562dced3d80c43f4622b3c4ad2acc50e9	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_13:_Exodus.txt
140	22126	fdb3bca33cd62b25ea0fdb972186d12d184584618caebf1a9da66d1fdc938c3b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1:_Stardust_to_Stardust.txt
141	19245	dd482188850c8f217cc1be1f731aa98fd45ddd860b0a381f93a892f51d4a99c8	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_-_Stardust_to_Stardust.txt
142	5703	83c822cf538a92c8c74f010367dff078e261ede913458486c23fa4e80e953f74	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Integration.txt
143	18717	d511e6889a5844b92512d03c8948c868ea4b6564323ffa9c4778794a0b9aef43	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Integration_2.0.txt
144	7124	6f944df5c98f3189de5ee6aec61b676d446e7ba5a271a2480f035492eabc1026	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Integration_Prompt.txt
145	16922	8b49415c9e3f12be52786b688676930b0ac71414034087a141d2f5e849390e80	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Merge_Prompt.txt
146	31718	9dca02d6617846d197060999a0dcd2efbcf2871594f56087ab90789ee8c62b8c	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_1_Version_O.txt
147	19181	6c81f087ba494a2d042f846c9c8464141a4e1837fa20615e3bebc95beade1f54	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2:_Living_Sacrifice.txt
148	17501	14ac2a4f101049670c2c023e7201b9168af42c7ccf175434bc563bb41af2c4d4	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2_-_Analysis_&_Guides_1.0.txt
149	16963	4b36a5caf726f00c5d17d0871e704be96894cb11849d1e4c5e20341b05581fdf	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2_-_Commerciality_and_Marketing_3.0.txt
150	15223	be2f1be65c9dd478de2fa29b17ffaa5ae0617535ee7b744f7de3a8d1f98db117	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2_-_Master_Revision_Prompt_2.0.txt
151	7543	3d4e278a0349a7f47569f4502b324bf0ffbf97adb96568920bef23a877dc0776	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_2nd_to_last.txt
152	19673	99e11bbe9eaf2b625f80b6afbfbcefe8df049b790a44ac8b3816871d68c0b091	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_3:_Lift_Up.txt
153	7210	607be23e17d6ceeace04228855ed86d7a0c053c162dacdd97569f46a4fdbc1a4	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_3_-_Master_Revision_Prompt_2.0.txt
154	18857	f0b6473ede6d48e5240e893d5ecc3011263938e4624d830f504a4c92fe6daa1b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_3_Analysis_&_Guides.txt
155	4388	4c0aee2074e7721ce6dfd28a367502a01de7913536bd0eaba1bb3406e3b3f1af	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_3_Integration_Prompt.txt
156	18833	63b181b1f87727ee5202fe1f59a797a227f379a2446db5edd1cb47d50215b8a7	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_4:_Pilgrimage.txt
157	19304	504e4ad012551e123f652e6e9a86b61a870895e4c590796b9a2dd90fd51952de	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_5:_The_Snare.txt
158	21547	5b7b91ab7dc53343297f6b32b4a59443e75b629c2f1484de0f093bc2ff802a37	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_6:_Beelzebub,_Beelzebub.txt
159	28338	ef95514e7432470db9a54a1e97d2c8bf05432735fa895646c44ef8b012dfd367	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_8.1.txt
160	24065	a3943e94157271c151474480bb14df00ce1e257c4a6e015be241dacf98f28472	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_8:_Sea_People.txt
161	27027	bb2740591c75d6dd0ee22abf60c25523302ff6758cfd3052f1b2c72e9ffe191b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Chapter_9:_The_Ascent.txt
162	30850	eab506d365537d22963b738a75764c8c9a658e594b582b1e2443e9695da8c6ff	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Could_you_condense_that_chapter_by_500_to_1,000_w....txt
163	13767	208de4e7cdbed2b90c425c88319bd17fdbce188638adb96861aa8d04761fe269	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Critique_2.2.txt
164	6989	948f2ec8073e1b05a05dd287d2b029a4abd739e03737afed176ef134ae77509a	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Final Revision (Generalized For All Chapters).txt
165	26548	5bf605e1ebd971c2528475678890f1caf68a59b43ba15ca4eeb4466acc46459f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Go_ahead_and_write_out_the_chapter_keep_in_mind_t....txt
166	3998	896e019e71ba92e89b5c07f5f9773a94c079ef0881f9a3a11a203c42746706e6	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/MANUSCRIPT_AUTOPSY.txt
167	11465	9a56dbbd490de786ad8f6ac4da0fa01e24e7363f75d3f5a05913638d9e6d11b2	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Narnia_.txt
168	2541	d977df03a7609338b44621fbb3621cfd61c59acd79ff10b705f8837cbd130c35	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Purple_Prose_Prompt.txt
169	6562	7f86ab925e53d48f6e32e07950f30b81b82bd4270b77b826b7392d7d35e86758	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/THE_WEIGHT_OF_THE_SKY-_MASTER_COMPENDIUM_(SINGULARITY_v.txt
170	2456	06b7414f7be3fde293b719c0fcbee8700a4d784aa36d35f5ab6871c054f6d8b5	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/The_-Version_X-_Meta-Prompt.txt
171	12645	0779c017b9b2340a98fb9a39a87bc9849491fecf2d875cb54632427032aad74d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/The_Weight_of_the_Sky:_The_Fall_into_Megiddo.txt
172	18320	306d73cc10dde139ac497f709f17cb9db2f58ffe99e80e02d56059a3b65dab00	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/The_scrape.txt
173	3991	4ff77a7fae6890360953bcf60fd31409ffd7c1ddd2754c8e4ec6c2e27e96cc9d	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/ToALITTERAS_ECOSYSTEM_v2.txt
174	10474	c76c360a7c7e7768e22f677f9de028088b3ca630754f0027c744c1b3d6bbb271	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Untitled_document.txt
175	19536	f9021d4951dc01a4776203566f90e64792639b6f77f55d1902a35df1a4c8541b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Version_A.txt
176	19366	8d1807012e35af7acaa76dd53b818f8e08875a25014d9479c0fd2b926109aaae	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Version_B.txt
177	17321	e9bc6bc1f3c91c9856b548de65272a869f6bba3a945d4f681fb0ad8d0292c882	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/WOS_Ch7_The_Pit.txt
178	23683	518da3e2362c54d0b8a27f106b957a43966a894555a39d0e66dd9f94c6f3a6fc	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/Whole_Book.txt
179	24874	79ccd8474783826d57f79079af461c10c73bb96b4754515b698189e6d9b4ea45	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/chapter_11.2.txt
180	19186	72377df9ad2575fc0a97523937ff9e451cadef7811fae2a443aa5daa3a2a351b	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/•(G)_Chapter:_1_Stardust_to_Stardust_.txt
181	22989	b51340f0b8f0a7c309c2626aacd9d4c052170764b74ba787ad4f37d7cd8c156f	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/•(G)_Chapter_2-_Living_Sacrifice.txt
182	19162	749f0ad8c461b893931d5d0092d9ceb819c83ab28f4db900d3e648e9233cf961	./docs/agent_context/source_drop/gdrive_raw_manuscript_staging/gdrive_raw/﻿Chapter_1-_Stardust_to_Stardust.txt
